id,rank,title_en,year,rating,persons
tt0111161,1,The Shawshank Redemption,(1994),"9.2 based on 2,737,594 user ratings","Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
tt0068646,2,The Godfather,(1972),"9.2 based on 1,903,716 user ratings","Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
tt0468569,3,The Dark Knight,(2008),"9.0 based on 2,710,664 user ratings","Christopher Nolan (dir.), Christian Bale, Heath Ledger"
tt0071562,4,The Godfather Part II,(1974),"9.0 based on 1,297,589 user ratings","Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
tt0050083,5,12 Angry Men,(1957),"9.0 based on 810,247 user ratings","Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
tt0108052,6,Schindler's List,(1993),"8.9 based on 1,381,841 user ratings","Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
tt0167260,7,The Lord of the Rings: The Return of the King,(2003),"8.9 based on 1,882,613 user ratings","Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
tt0110912,8,Pulp Fiction,(1994),"8.8 based on 2,103,743 user ratings","Quentin Tarantino (dir.), John Travolta, Uma Thurman"
tt0120737,9,The Lord of the Rings: The Fellowship of the Ring,(2001),"8.8 based on 1,911,411 user ratings","Peter Jackson (dir.), Elijah Wood, Ian McKellen"
tt0060196,10,"The Good, the Bad and the Ugly",(1966),"8.8 based on 775,479 user ratings","Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
tt0109830,11,Forrest Gump,(1994),"8.8 based on 2,130,297 user ratings","Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
tt0137523,12,Fight Club,(1999),"8.7 based on 2,179,810 user ratings","David Fincher (dir.), Brad Pitt, Edward Norton"
tt0167261,13,The Lord of the Rings: The Two Towers,(2002),"8.7 based on 1,699,427 user ratings","Peter Jackson (dir.), Elijah Wood, Ian McKellen"
tt1375666,14,Inception,(2010),"8.7 based on 2,406,221 user ratings","Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
tt0080684,15,Star Wars: Episode V - The Empire Strikes Back,(1980),"8.7 based on 1,317,839 user ratings","Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
tt0133093,16,The Matrix,(1999),"8.7 based on 1,952,780 user ratings","Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
tt0099685,17,Goodfellas,(1990),"8.7 based on 1,188,164 user ratings","Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
tt0073486,18,One Flew Over the Cuckoo's Nest,(1975),"8.6 based on 1,026,453 user ratings","Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
tt0114369,19,Se7en,(1995),"8.6 based on 1,692,581 user ratings","David Fincher (dir.), Morgan Freeman, Brad Pitt"
tt0038650,20,It's a Wonderful Life,(1946),"8.6 based on 471,132 user ratings","Frank Capra (dir.), James Stewart, Donna Reed"
tt0047478,21,Seven Samurai,(1954),"8.6 based on 352,079 user ratings","Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
tt0102926,22,The Silence of the Lambs,(1991),"8.6 based on 1,463,740 user ratings","Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
tt0120815,23,Saving Private Ryan,(1998),"8.6 based on 1,419,924 user ratings","Steven Spielberg (dir.), Tom Hanks, Matt Damon"
tt0317248,24,City of God,(2002),"8.6 based on 769,308 user ratings","Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
tt0816692,25,Interstellar,(2014),"8.6 based on 1,901,664 user ratings","Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
tt0118799,26,Life Is Beautiful,(1997),"8.6 based on 709,525 user ratings","Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
tt0120689,27,The Green Mile,(1999),"8.6 based on 1,331,270 user ratings","Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
tt0076759,28,Star Wars: Episode IV - A New Hope,(1977),"8.5 based on 1,390,324 user ratings","George Lucas (dir.), Mark Hamill, Harrison Ford"
tt0103064,29,Terminator 2: Judgment Day,(1991),"8.5 based on 1,120,499 user ratings","James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
tt0088763,30,Back to the Future,(1985),"8.5 based on 1,234,846 user ratings","Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
tt0245429,31,Spirited Away,(2001),"8.5 based on 786,862 user ratings","Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
tt0253474,32,The Pianist,(2002),"8.5 based on 853,393 user ratings","Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
tt0054215,33,Psycho,(1960),"8.5 based on 685,957 user ratings","Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
tt6751668,34,Parasite,(2019),"8.5 based on 849,564 user ratings","Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
tt0110413,35,Léon: The Professional,(1994),"8.5 based on 1,186,102 user ratings","Luc Besson (dir.), Jean Reno, Gary Oldman"
tt0172495,36,Gladiator,(2000),"8.5 based on 1,532,186 user ratings","Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
tt0110357,37,The Lion King,(1994),"8.5 based on 1,082,158 user ratings","Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
tt0120586,38,American History X,(1998),"8.5 based on 1,141,068 user ratings","Tony Kaye (dir.), Edward Norton, Edward Furlong"
tt0407887,39,The Departed,(2006),"8.5 based on 1,352,704 user ratings","Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
tt2582802,40,Whiplash,(2014),"8.5 based on 900,311 user ratings","Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
tt0482571,41,The Prestige,(2006),"8.5 based on 1,361,032 user ratings","Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
tt0114814,42,The Usual Suspects,(1995),"8.5 based on 1,102,327 user ratings","Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
tt0034583,43,Casablanca,(1942),"8.5 based on 582,276 user ratings","Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
tt0095327,44,Grave of the Fireflies,(1988),"8.5 based on 286,297 user ratings","Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
tt0056058,45,Harakiri,(1962),"8.5 based on 60,631 user ratings","Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
tt1675434,46,The Intouchables,(2011),"8.5 based on 879,252 user ratings","Olivier Nakache (dir.), François Cluzet, Omar Sy"
tt0027977,47,Modern Times,(1936),"8.4 based on 247,763 user ratings","Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
tt0064116,48,Once Upon a Time in the West,(1968),"8.4 based on 336,396 user ratings","Sergio Leone (dir.), Henry Fonda, Charles Bronson"
tt0095765,49,Cinema Paradiso,(1988),"8.4 based on 267,708 user ratings","Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
tt0047396,50,Rear Window,(1954),"8.4 based on 500,875 user ratings","Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
tt0078748,51,Alien,(1979),"8.4 based on 901,145 user ratings","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
tt0021749,52,City Lights,(1931),"8.4 based on 188,199 user ratings","Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
tt0078788,53,Apocalypse Now,(1979),"8.4 based on 680,739 user ratings","Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
tt0209144,54,Memento,(2000),"8.4 based on 1,260,773 user ratings","Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
tt1853728,55,Django Unchained,(2012),"8.4 based on 1,594,670 user ratings","Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
tt0082971,56,Indiana Jones and the Raiders of the Lost Ark,(1981),"8.4 based on 983,967 user ratings","Steven Spielberg (dir.), Harrison Ford, Karen Allen"
tt0910970,57,WALL·E,(2008),"8.4 based on 1,139,874 user ratings","Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
tt0405094,58,The Lives of Others,(2006),"8.4 based on 395,981 user ratings","Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
tt0043014,59,Sunset Blvd.,(1950),"8.4 based on 226,392 user ratings","Billy Wilder (dir.), William Holden, Gloria Swanson"
tt0050825,60,Paths of Glory,(1957),"8.4 based on 201,793 user ratings","Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
tt0081505,61,The Shining,(1980),"8.4 based on 1,046,266 user ratings","Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
tt0032553,62,The Great Dictator,(1940),"8.4 based on 228,240 user ratings","Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
tt4154756,63,Avengers: Infinity War,(2018),"8.4 based on 1,118,054 user ratings","Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
