id,rank,title_en,year,rating,film_title_cleaned,num_votes,director,actor1,actor2,film_age,collaboration1,collaboration2
tt0111161,1,The Shawshank Redemption,1994,9.2,theshawshankredemption,2735011,Frank Darabont, Tim Robbins,Morgan Freeman,29,Frank Darabont -  Tim Robbins - 1,Frank Darabont - Morgan Freeman - 1
tt0068646,2,The Godfather,1972,9.2,thegodfather,1901934,Francis Ford Coppola, Marlon Brando,Al Pacino,51,Francis Ford Coppola -  Marlon Brando - 1,Francis Ford Coppola - Al Pacino - 1
tt0468569,3,The Dark Knight,2008,9.0,thedarkknight,2708214,Christopher Nolan, Christian Bale,Heath Ledger,15,Christopher Nolan -  Christian Bale - 4,Christopher Nolan - Heath Ledger - 1
tt0071562,4,The Godfather Part II,1974,9.0,thegodfatherpartii,1296571,Francis Ford Coppola, Al Pacino,Robert De Niro,49,Francis Ford Coppola -  Al Pacino - 1,Francis Ford Coppola - Robert De Niro - 1
tt0050083,5,12 Angry Men,1957,9.0,12angrymen,809416,Sidney Lumet, Henry Fonda,Lee J. Cobb,66,Sidney Lumet -  Henry Fonda - 1,Sidney Lumet - Lee J. Cobb - 1
tt0108052,6,Schindler's List,1993,8.9,schindlerslist,1380732,Steven Spielberg, Liam Neeson,Ralph Fiennes,30,Steven Spielberg -  Liam Neeson - 1,Steven Spielberg - Ralph Fiennes - 1
tt0167260,7,The Lord of the Rings: The Return of the King,2003,8.9,thelordoftheringsthereturnoftheking,1881248,Peter Jackson, Elijah Wood,Viggo Mortensen,20,Peter Jackson -  Elijah Wood - 3,Peter Jackson - Viggo Mortensen - 1
tt0110912,8,Pulp Fiction,1994,8.8,pulpfiction,2101736,Quentin Tarantino, John Travolta,Uma Thurman,29,Quentin Tarantino -  John Travolta - 1,Quentin Tarantino - Uma Thurman - 1
tt0120737,9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,thelordoftheringsthefellowshipofthering,1910077,Peter Jackson, Elijah Wood,Ian McKellen,22,Peter Jackson -  Elijah Wood - 3,Peter Jackson - Ian McKellen - 2
tt0060196,10,"The Good, the Bad and the Ugly",1966,8.8,thegoodthebadandtheugly,774930,Sergio Leone, Clint Eastwood,Eli Wallach,57,Sergio Leone -  Clint Eastwood - 2,Sergio Leone - Eli Wallach - 1
tt0109830,11,Forrest Gump,1994,8.8,forrestgump,2128313,Robert Zemeckis, Tom Hanks,Robin Wright,29,Robert Zemeckis -  Tom Hanks - 1,Robert Zemeckis - Robin Wright - 1
tt0137523,12,Fight Club,1999,8.7,fightclub,2177598,David Fincher, Brad Pitt,Edward Norton,24,David Fincher -  Brad Pitt - 1,David Fincher - Edward Norton - 1
tt0167261,13,The Lord of the Rings: The Two Towers,2002,8.7,thelordoftheringsthetwotowers,1698231,Peter Jackson, Elijah Wood,Ian McKellen,21,Peter Jackson -  Elijah Wood - 3,Peter Jackson - Ian McKellen - 2
tt1375666,14,Inception,2010,8.7,inception,2403977,Christopher Nolan, Leonardo DiCaprio,Joseph Gordon-Levitt,13,Christopher Nolan -  Leonardo DiCaprio - 1,Christopher Nolan - Joseph Gordon-Levitt - 1
tt0080684,15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,starwarsepisodevtheempirestrikesback,1316616,Irvin Kershner, Mark Hamill,Harrison Ford,43,Irvin Kershner -  Mark Hamill - 1,Irvin Kershner - Harrison Ford - 1
tt0133093,16,The Matrix,1999,8.7,thematrix,1951153,Lana Wachowski, Keanu Reeves,Laurence Fishburne,24,Lana Wachowski -  Keanu Reeves - 1,Lana Wachowski - Laurence Fishburne - 1
tt0099685,17,Goodfellas,1990,8.7,goodfellas,1187146,Martin Scorsese, Robert De Niro,Ray Liotta,33,Martin Scorsese -  Robert De Niro - 4,Martin Scorsese - Ray Liotta - 1
tt0073486,18,One Flew Over the Cuckoo's Nest,1975,8.6,oneflewoverthecuckoosnest,1025704,Milos Forman, Jack Nicholson,Louise Fletcher,48,Milos Forman -  Jack Nicholson - 1,Milos Forman - Louise Fletcher - 1
tt0114369,19,Se7en,1995,8.6,se7en,1690927,David Fincher, Morgan Freeman,Brad Pitt,28,David Fincher -  Morgan Freeman - 1,David Fincher - Brad Pitt - 1
tt0038650,20,It's a Wonderful Life,1946,8.6,itsawonderfullife,470810,Frank Capra, James Stewart,Donna Reed,77,Frank Capra -  James Stewart - 2,Frank Capra - Donna Reed - 1
tt0047478,21,Seven Samurai,1954,8.6,sevensamurai,351836,Akira Kurosawa, Toshirô Mifune,Takashi Shimura,69,Akira Kurosawa -  Toshirô Mifune - 4,Akira Kurosawa - Takashi Shimura - 1
tt0102926,22,The Silence of the Lambs,1991,8.6,thesilenceofthelambs,1462436,Jonathan Demme, Jodie Foster,Anthony Hopkins,32,Jonathan Demme -  Jodie Foster - 1,Jonathan Demme - Anthony Hopkins - 1
tt0120815,23,Saving Private Ryan,1998,8.6,savingprivateryan,1418786,Steven Spielberg, Tom Hanks,Matt Damon,25,Steven Spielberg -  Tom Hanks - 1,Steven Spielberg - Matt Damon - 1
tt0317248,24,City of God,2002,8.6,cityofgod,768796,Fernando Meirelles, Alexandre Rodrigues,Leandro Firmino,21,Fernando Meirelles -  Alexandre Rodrigues - 1,Fernando Meirelles - Leandro Firmino - 1
tt0816692,25,Interstellar,2014,8.6,interstellar,1898826,Christopher Nolan, Matthew McConaughey,Anne Hathaway,9,Christopher Nolan -  Matthew McConaughey - 1,Christopher Nolan - Anne Hathaway - 1
tt0118799,26,Life Is Beautiful,1997,8.6,lifeisbeautiful,708977,Roberto Benigni, Roberto Benigni,Nicoletta Braschi,26,Roberto Benigni -  Roberto Benigni - 1,Roberto Benigni - Nicoletta Braschi - 1
tt0120689,27,The Green Mile,1999,8.6,thegreenmile,1329995,Frank Darabont, Tom Hanks,Michael Clarke Duncan,24,Frank Darabont -  Tom Hanks - 1,Frank Darabont - Michael Clarke Duncan - 1
tt0076759,28,Star Wars: Episode IV - A New Hope,1977,8.5,starwarsepisodeivanewhope,1389078,George Lucas, Mark Hamill,Harrison Ford,46,George Lucas -  Mark Hamill - 1,George Lucas - Harrison Ford - 1
tt0103064,29,Terminator 2: Judgment Day,1991,8.5,terminator2judgmentday,1119626,James Cameron, Arnold Schwarzenegger,Linda Hamilton,32,James Cameron -  Arnold Schwarzenegger - 2,James Cameron - Linda Hamilton - 2
tt0088763,30,Back to the Future,1985,8.5,backtothefuture,1233554,Robert Zemeckis, Michael J. Fox,Christopher Lloyd,38,Robert Zemeckis -  Michael J. Fox - 1,Robert Zemeckis - Christopher Lloyd - 1
tt0245429,31,Spirited Away,2001,8.5,spiritedaway,785881,Hayao Miyazaki, Daveigh Chase,Suzanne Pleshette,22,Hayao Miyazaki -  Daveigh Chase - 1,Hayao Miyazaki - Suzanne Pleshette - 1
tt0253474,32,The Pianist,2002,8.5,thepianist,852480,Roman Polanski, Adrien Brody,Thomas Kretschmann,21,Roman Polanski -  Adrien Brody - 1,Roman Polanski - Thomas Kretschmann - 1
tt0054215,33,Psycho,1960,8.5,psycho,685344,Alfred Hitchcock, Anthony Perkins,Janet Leigh,63,Alfred Hitchcock -  Anthony Perkins - 1,Alfred Hitchcock - Janet Leigh - 1
tt6751668,34,Parasite,2019,8.5,parasite,847823,Bong Joon Ho, Song Kang-ho,Lee Sun-kyun,4,Bong Joon Ho -  Song Kang-ho - 2,Bong Joon Ho - Lee Sun-kyun - 1
tt0110413,35,Léon: The Professional,1994,8.5,lontheprofessional,1185021,Luc Besson, Jean Reno,Gary Oldman,29,Luc Besson -  Jean Reno - 1,Luc Besson - Gary Oldman - 1
tt0172495,36,Gladiator,2000,8.5,gladiator,1530799,Ridley Scott, Russell Crowe,Joaquin Phoenix,23,Ridley Scott -  Russell Crowe - 1,Ridley Scott - Joaquin Phoenix - 1
tt0110357,37,The Lion King,1994,8.5,thelionking,1081137,Roger Allers, Matthew Broderick,Jeremy Irons,29,Roger Allers -  Matthew Broderick - 1,Roger Allers - Jeremy Irons - 1
tt0120586,38,American History X,1998,8.5,americanhistoryx,1140381,Tony Kaye, Edward Norton,Edward Furlong,25,Tony Kaye -  Edward Norton - 1,Tony Kaye - Edward Furlong - 1
tt0407887,39,The Departed,2006,8.5,thedeparted,1351541,Martin Scorsese, Leonardo DiCaprio,Matt Damon,17,Martin Scorsese -  Leonardo DiCaprio - 3,Martin Scorsese - Matt Damon - 1
tt2582802,40,Whiplash,2014,8.5,whiplash,898875,Damien Chazelle, Miles Teller,J.K. Simmons,9,Damien Chazelle -  Miles Teller - 1,Damien Chazelle - J.K. Simmons - 1
tt0482571,41,The Prestige,2006,8.5,theprestige,1359882,Christopher Nolan, Christian Bale,Hugh Jackman,17,Christopher Nolan -  Christian Bale - 4,Christopher Nolan - Hugh Jackman - 1
tt0114814,42,The Usual Suspects,1995,8.5,theusualsuspects,1101627,Bryan Singer, Kevin Spacey,Gabriel Byrne,28,Bryan Singer -  Kevin Spacey - 1,Bryan Singer - Gabriel Byrne - 1
tt0034583,43,Casablanca,1942,8.5,casablanca,581885,Michael Curtiz, Humphrey Bogart,Ingrid Bergman,81,Michael Curtiz -  Humphrey Bogart - 1,Michael Curtiz - Ingrid Bergman - 1
tt0095327,44,Grave of the Fireflies,1988,8.5,graveofthefireflies,285927,Isao Takahata, Tsutomu Tatsumi,Ayano Shiraishi,35,Isao Takahata -  Tsutomu Tatsumi - 1,Isao Takahata - Ayano Shiraishi - 1
tt0056058,45,Harakiri,1962,8.5,harakiri,60515,Masaki Kobayashi, Tatsuya Nakadai,Akira Ishihama,61,Masaki Kobayashi -  Tatsuya Nakadai - 1,Masaki Kobayashi - Akira Ishihama - 1
tt1675434,46,The Intouchables,2011,8.5,theintouchables,878361,Olivier Nakache, François Cluzet,Omar Sy,12,Olivier Nakache -  François Cluzet - 1,Olivier Nakache - Omar Sy - 1
tt0027977,47,Modern Times,1936,8.4,moderntimes,247560,Charles Chaplin, Charles Chaplin,Paulette Goddard,87,Charles Chaplin -  Charles Chaplin - 5,Charles Chaplin - Paulette Goddard - 2
tt0064116,48,Once Upon a Time in the West,1968,8.4,onceuponatimeinthewest,336147,Sergio Leone, Henry Fonda,Charles Bronson,55,Sergio Leone -  Henry Fonda - 1,Sergio Leone - Charles Bronson - 1
tt0095765,49,Cinema Paradiso,1988,8.4,cinemaparadiso,267452,Giuseppe Tornatore, Philippe Noiret,Enzo Cannavale,35,Giuseppe Tornatore -  Philippe Noiret - 1,Giuseppe Tornatore - Enzo Cannavale - 1
tt0047396,50,Rear Window,1954,8.4,rearwindow,500511,Alfred Hitchcock, James Stewart,Grace Kelly,69,Alfred Hitchcock -  James Stewart - 2,Alfred Hitchcock - Grace Kelly - 2
tt0078748,51,Alien,1979,8.4,alien,900385,Ridley Scott, Sigourney Weaver,Tom Skerritt,44,Ridley Scott -  Sigourney Weaver - 1,Ridley Scott - Tom Skerritt - 1
tt0021749,52,City Lights,1931,8.4,citylights,188052,Charles Chaplin, Charles Chaplin,Virginia Cherrill,92,Charles Chaplin -  Charles Chaplin - 5,Charles Chaplin - Virginia Cherrill - 1
