category,name,movie,year,status
DIRECTING (COMEDY PICTURE),TWO ARABIAN KNIGHTS,Lewis Milestone,1929,winner
DIRECTING (DRAMATIC PICTURE),7TH HEAVEN,Frank Borzage,1929,winner
ENGINEERING EFFECTS,WINGS,Roy Pomeroy,1929,winner
OUTSTANDING PICTURE,WINGS,Paramount Famous Lasky,1929,winner
UNIQUE AND ARTISTIC PICTURE,SUNRISE,Fox,1929,winner
WRITING (ADAPTATION),7TH HEAVEN,Benjamin Glazer,1929,winner
WRITING (ORIGINAL STORY),UNDERWORLD,Ben Hecht,1929,winner
WRITING (TITLE WRITING),,Joseph Farnham,1929,winner
ACTOR,WARNER BAXTER,In Old Arizona,1930,winner
ACTRESS,MARY PICKFORD,Coquette,1930,winner
ART DIRECTION,THE BRIDGE OF SAN LUIS REY,Cedric Gibbons,1930,winner
CINEMATOGRAPHY,WHITE SHADOWS IN THE SOUTH SEAS,Clyde De Vinna,1930,winner
DIRECTING,THE DIVINE LADY,Frank Lloyd,1930,winner
OUTSTANDING PICTURE,THE BROADWAY MELODY,Metro-Goldwyn-Mayer,1930,winner
WRITING,THE PATRIOT,Hans Kraly,1930,winner
ACTOR,GEORGE ARLISS,Disraeli,1931,winner
ACTRESS,NORMA SHEARER,The Divorcee,1931,winner
ART DIRECTION,KING OF JAZZ,Herman Rosse,1931,winner
CINEMATOGRAPHY,WITH BYRD AT THE SOUTH POLE,"Joseph T. Rucker, Willard Van Der Veer",1931,winner
DIRECTING,ALL QUIET ON THE WESTERN FRONT,Lewis Milestone,1931,winner
OUTSTANDING PRODUCTION,ALL QUIET ON THE WESTERN FRONT,Universal,1931,winner
SOUND RECORDING,THE BIG HOUSE,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",1931,winner
WRITING,THE BIG HOUSE,Frances Marion,1931,winner
ACTOR,LIONEL BARRYMORE,A Free Soul,1932,winner
ACTRESS,MARIE DRESSLER,Min and Bill,1932,winner
ART DIRECTION,CIMARRON,Cimarron,1932,winner
CINEMATOGRAPHY,TABU,Floyd Crosby,1932,winner
DIRECTING,SKIPPY,Norman Taurog,1932,winner
OUTSTANDING PRODUCTION,CIMARRON,RKO Radio,1932,winner
SOUND RECORDING,,Paramount Publix Studio Sound Department,1932,winner
WRITING (ADAPTATION),CIMARRON,Howard Estabrook,1932,winner
