year,movie,number_W,number_N,number_W+N
1998,titanic,11,3,14
2004,thelordoftheringsthereturnoftheking,11,0,11
1960,benhur,11,1,12
1962,westsidestory,10,1,11
1959,gigi,9,0,9
1997,theenglishpatient,9,3,12
1988,thelastemperor,9,0,9
1940,gonewiththewind,9,5,14
1985,amadeus,8,3,11
1955,onthewaterfront,8,4,12
1965,myfairlady,8,4,12
1983,gandhi,8,3,11
1954,fromheretoeternity,8,5,13
1973,cabaret,8,2,10
2009,slumdogmillionaire,8,2,10
1958,thebridgeontheriverkwai,7,1,8
1999,shakespeareinlove,7,6,13
1963,lawrenceofarabia,7,3,10
2023,everythingeverywhereallatonce,7,3,10
1947,thebestyearsofourlives,7,1,8
1986,outofafrica,7,4,11
1994,schindlerslist,7,5,12
1971,patton,7,3,10
1978,starwars,7,4,11
2014,gravity,7,3,10
1945,goingmyway,7,3,10
1974,thesting,7,3,10
1991,danceswithwolves,7,5,12
1995,forrestgump,6,7,13
1975,thegodfatherpartii,6,5,11
2010,thehurtlocker,6,3,9
1951,allabouteve,6,8,14
1952,aplaceinthesun,6,3,9
1952,anamericaninparis,6,2,8
2003,chicago,6,7,13
2016,madmaxfuryroad,6,4,10
1943,mrsminiver,6,6,12
1967,amanforallseasons,6,2,8
2022,dune,6,4,10
2017,lalaland,5,7,12
1999,savingprivateryan,5,6,11
2001,gladiator,5,7,12
1965,marypoppins,5,8,13
1961,theapartment,5,5,10
1945,wilson,5,5,10
1968,intheheatofthenight,5,2,7
1972,thefrenchconnection,5,3,8
1996,braveheart,5,5,10
1942,howgreenwasmyvalley,5,5,10
1980,kramervskramer,5,4,9
1982,raidersofthelostark,5,4,9
1953,thebadandthebeautiful,5,1,6
1984,termsofendearment,5,6,11
1935,ithappenedonenight,5,0,5
1992,thesilenceofthelambs,5,2,7
2012,hugo,5,6,11
1976,oneflewoverthecuckoosnest,5,4,9
1957,thekingandi,5,4,9
2005,theaviator,5,6,11
1966,thesoundofmusic,5,5,10
1957,aroundtheworldin80days,5,3,8
1967,whosafraidofvirginiawoolf,5,8,13
1969,oliver,5,6,11
2000,americanbeauty,5,3,8
1979,thedeerhunter,5,4,9
2012,theartist,5,5,10
1966,doctorzhivago,5,5,10
1981,ordinarypeople,4,2,6
1989,rainman,4,4,8
1989,whoframedrogerrabbit,4,3,7
1946,thelostweekend,4,3,7
2015,thegrandbudapesthotel,4,5,9
1978,anniehall,4,1,5
1956,marty,4,4,8
2015,birdmanortheunexpectedvirtueofignorance,4,5,9
2005,milliondollarbaby,4,3,7
1944,thesongofbernadette,4,8,12
1990,drivingmissdaisy,4,5,9
2013,lifeofpi,4,6,10
1980,allthatjazz,4,5,9
1977,network,4,6,10
1970,butchcassidyandthesundancekid,4,3,7
1977,allthepresidentsmen,4,4,8
1958,sayonara,4,6,10
1964,tomjones,4,6,10
1982,chariotsoffire,4,3,7
2020,parasite,4,2,6
1952,astreetcarnameddesire,4,8,12
1983,ettheextraterrestrial,4,5,9
2023,allquietonthewesternfront,4,5,9
2011,thekingsspeech,4,8,12
2011,inception,4,4,8
1987,platoon,4,4,8
1953,highnoon,4,3,7
1993,unforgiven,4,5,9
2019,bohemianrhapsody,4,1,5
1937,anthonyadverse,4,3,7
2001,traffic,4,1,5
1949,hamlet,4,3,7
1964,cleopatra,4,5,9
2007,thedeparted,4,1,5
1950,theheiress,4,4,8
1936,theinformer,4,2,6
2008,nocountryforoldmen,4,4,8
2002,thelordoftheringsthefellowshipofthering,4,9,13
2000,thematrix,4,0,4
1992,terminator2judgmentday,4,2,6
2018,theshapeofwater,4,9,13
1984,therightstuff,4,4,8
1984,fannyalexander,4,2,6
2001,crouchingtigerhiddendragon,4,6,10
1961,spartacus,4,2,6
2002,abeautifulmind,4,4,8
1976,barrylyndon,4,3,7
1991,dicktracy,3,4,7
2008,thebourneultimatum,3,0,3
1978,julia,3,8,11
1951,sunsetblvd,3,8,11
1985,thekillingfields,3,3,6
2009,thecuriouscaseofbenjaminbutton,3,10,13
1956,loveisamanysplendoredthing,3,5,8
2014,12yearsaslave,3,6,9
2014,dallasbuyersclub,3,3,6
1966,darling,3,2,5
1956,therosetattoo,3,5,8
1993,howardsend,3,6,9
1948,gentlemansagreement,3,5,8
1948,miracleon34thstreet,3,1,4
2007,panslabyrinth,3,3,6
2011,thesocialnetwork,3,5,8
1972,fiddlerontheroof,3,5,8
1954,romanholiday,3,7,10
1976,jaws,3,1,4
1994,thepiano,3,5,8
1975,thetoweringinferno,3,5,8
1994,jurassicpark,3,0,3
2010,avatar,3,6,9
1950,allthekingsmen,3,4,7
1973,thegodfather,3,7,10
2006,memoirsofageisha,3,3,6
2006,kingkong,3,1,4
2006,crash,3,3,6
2006,brokebackmountain,3,5,8
1977,rocky,3,7,10
2013,argo,3,3,6
2013,lesmisrables,3,5,8
1949,thetreasureofthesierramadre,3,1,4
1979,cominghome,3,5,8
2017,moonlight,3,5,8
1988,moonstruck,3,3,6
1967,grandprix,3,0,3
1938,thelifeofemilezola,3,7,10
1989,dangerousliaisons,3,4,7
1960,thediaryofannefrank,3,5,8
1970,midnightcowboy,3,4,7
1968,camelot,3,2,5
1964,hud,3,4,7
1970,hellodolly,3,4,7
2003,thepianist,3,4,7
1941,thethiefofbagdad,3,1,4
1987,hannahandhersisters,3,4,7
2021,nomadland,3,3,6
1939,theadventuresofrobinhood,3,1,4
1982,reds,3,9,12
1982,ongoldenpond,3,7,10
2019,blackpanther,3,3,6
1961,elmergantry,3,2,5
1981,tess,3,3,6
1934,cavalcade,3,1,4
2019,roma,3,7,10
2019,greenbook,3,2,5
1987,aroomwithaview,3,5,8
2018,dunkirk,3,5,8
1990,glory,3,2,5
2022,coda,3,0,3
1943,yankeedoodledandy,3,5,8
2015,whiplash,3,2,5
1965,zorbathegreek,3,4,7
1932,cimarron,3,4,7
1944,casablanca,3,5,8
1937,thestoryoflouispasteur,3,1,4
1963,tokillamockingbird,3,5,8
2016,therevenant,3,9,12
1937,thegreatziegfeld,3,4,7
2020,1917,3,7,10
1964,howthewestwaswon,3,5,8
1999,lifeisbeautiful,3,4,7
1968,bonnieandclyde,2,8,10
1953,moulinrouge,2,5,7
2000,topsyturvy,2,2,4
1997,fargo,2,5,7
1962,judgmentatnuremberg,2,9,11
1962,breakfastattiffanys,2,3,5
1964,federicofellinis812,2,3,5
2008,therewillbeblood,2,6,8
2000,theciderhouserules,2,5,7
1953,thequietman,2,5,7
1953,thegreatestshowonearth,2,3,5
1968,doctordolittle,2,7,9
1994,philadelphia,2,3,5
2008,lavieenrose,2,1,3
1966,shipoffools,2,6,8
1963,thelongestday,2,3,5
1973,theposeidonadventure,2,7,9
1962,thehustler,2,7,9
1963,themiracleworker,2,3,5
1968,guesswhoscomingtodinner,2,8,10
1954,therobe,2,3,5
1998,goodwillhunting,2,7,9
1995,thelionking,2,2,4
1996,apollo13,2,7,9
1996,pocahontas,2,0,2
1955,20000leaguesunderthesea,2,1,3
1955,gateofhell,2,0,2
1967,amanandawoman,2,2,4
1959,thedefiantones,2,7,9
1955,thecountrygirl,2,5,7
1959,separatetables,2,5,7
1995,edwood,2,0,2
1955,threecoinsinthefountain,2,1,3
1996,theusualsuspects,2,0,2
1996,restoration,2,0,2
1970,z,2,3,5
1995,speed,2,1,3
1998,laconfidential,2,7,9
1998,asgoodasitgets,2,5,7
2005,theincredibles,2,2,4
2005,ray,2,4,6
1971,ryansdaughter,2,2,4
1957,somebodyuptherelikesme,2,1,3
2004,masterandcommanderthefarsideoftheworld,2,8,10
2004,mysticriver,2,4,6
1956,oklahoma,2,2,4
1956,picnic,2,4,6
2007,littlemisssunshine,2,2,4
2007,dreamgirls,2,6,8
2002,blackhawkdown,2,2,4
2007,aninconvenienttruth,2,0,2
2002,moulinrouge,2,6,8
1969,romeoandjuliet,2,2,4
1969,thelioninwinter,2,4,6
2003,thelordoftheringsthetwotowers,2,4,6
1967,fantasticvoyage,2,3,5
2003,frida,2,4,6
1972,sentinelsofsilence,2,0,2
1972,nicholasandalexandra,2,4,6
1967,bornfree,2,0,2
1972,thelastpictureshow,2,6,8
1960,roomatthetop,2,4,6
2017,hacksawridge,2,4,6
2017,manchesterbythesea,2,4,6
1980,apocalypsenow,2,6,8
1942,sergeantyork,2,9,11
1942,herecomesmrjordan,2,5,7
1980,normarae,2,2,4
2018,bladerunner2049,2,3,5
2018,darkesthour,2,4,6
1940,thewizardofoz,2,3,5
2018,threebillboardsoutsideebbingmissouri,2,5,7
1941,pinocchio,2,0,2
1981,fame,2,4,6
1941,thephiladelphiastory,2,4,6
1941,thegrapesofwrath,2,5,7
1981,melvinandhoward,2,1,3
1941,rebecca,2,9,11
1981,ragingbull,2,6,8
1981,theempirestrikesback,2,2,4
1944,phantomoftheopera,2,2,4
1991,ghost,2,3,5
1945,gaslight,2,5,7
2014,frozen,2,0,2
1978,closeencountersofthethirdkind,2,7,9
2014,thegreatgatsby,2,0,2
2016,spotlight,2,4,6
1979,midnightexpress,2,4,6
1990,thelittlemermaid,2,1,3
1990,myleftfoot,2,3,5
1990,bornonthefourthofjuly,2,6,8
1940,stagecoach,2,5,7
1987,aliens,2,5,7
1934,afarewelltoarms,2,2,4
2021,thefather,2,4,6
2021,soundofmetal,2,4,6
1936,amidsummernightsdream,2,2,4
1984,tendermercies,2,3,5
2021,mank,2,8,10
1935,onenightoflove,2,4,6
2021,maraineysblackbottom,2,3,5
2021,soul,2,1,3
1933,badgirl,2,1,3
1986,witness,2,6,8
1929,wings,2,0,2
1929,7thheaven,2,1,3
1986,cocoon,2,0,2
2023,thewhale,2,1,3
2022,theeyesoftammyfaye,2,0,2
1985,apassagetoindia,2,9,11
1985,placesintheheart,2,5,7
1931,thebighouse,2,2,4
1931,allquietonthewesternfront,2,2,4
1938,thegoodearth,2,3,5
1938,losthorizon,2,5,7
1938,inoldchicago,2,4,6
1982,arthur,2,2,4
1939,boystown,2,3,5
1939,youcanttakeitwithyou,2,5,7
1939,jezebel,2,3,5
1938,astarisborn,2,6,8
2020,onceuponatimeinhollywood,2,8,10
2020,fordvferrari,2,2,4
2020,joker,2,9,11
1983,anofficerandagentleman,2,4,6
1975,earthquake,2,3,5
1948,blacknarcissus,2,0,2
2010,up,2,3,5
1993,bramstokersdracula,2,1,3
1946,nationalvelvet,2,3,5
1948,adoublelife,2,2,4
1977,boundforglory,2,4,6
2012,theironlady,2,0,2
2013,djangounchained,2,2,4
1948,greatexpectations,2,3,5
1950,alettertothreewives,2,1,3
1949,thenakedcity,2,1,3
1950,battleground,2,4,6
1976,thehindenburg,2,3,5
1950,twelveoclockhigh,2,2,4
1975,thegreatgatsby,2,0,2
1949,theredshoes,2,3,5
1974,theexorcist,2,8,10
2011,aliceinwonderland,2,1,3
2011,thefighter,2,5,7
1992,bugsy,2,8,10
2010,preciousbasedonthenovelpushbysapphire,2,4,6
1947,theyearling,2,5,7
1992,jfk,2,6,8
1947,thejolsonstory,2,4,6
1947,annaandthekingofsiam,2,3,5
1951,samsonanddelilah,2,3,5
1993,aladdin,2,3,5
2011,toystory3,2,3,5
2009,thedarkknight,2,6,8
1949,joanofarc,2,5,7
1992,beautyandthebeast,2,4,6
2010,crazyheart,2,1,3
2013,lincoln,2,10,12
1951,kingsolomonsmines,2,1,3
2009,milk,2,6,8
1974,thewaywewere,2,4,6
1993,ariverrunsthroughit,1,2,3
1994,mrsdoubtfire,1,0,1
1988,youngatheart,1,0,1
1997,quest,1,0,1
1997,kolya,1,0,1
1988,raysmaleheterosexualdancehall,1,0,1
1988,robocop,1,2,3
1988,themanwhoplantedtrees,1,0,1
1997,jerrymaguire,1,4,5
1988,thetenyearlunchthewitandlegendofthealgonquinroundtable,1,0,1
1988,theuntouchables,1,3,4
1997,independenceday,1,1,2
1988,wallstreet,1,0,1
1997,evita,1,4,5
1997,emma,1,1,2
1997,shine,1,6,7
1997,slingblade,1,1,2
1994,theageofinnocence,1,4,5
1994,thefugitive,1,6,7
1994,thewrongtrousers,1,0,1
1997,whenwewerekings,1,0,1
1997,thenuttyprofessor,1,0,1
1997,theghostandthedarkness,1,0,1
1988,babettesfeast,1,0,1
1988,dirtydancing,1,0,1
1988,harryandthehendersons,1,0,1
1988,innerspace,1,0,1
1998,astoryofhealing,1,0,1
1998,character,1,0,1
1998,gerisgame,1,0,1
1994,iamapromisethechildrenofstantonelementaryschool,1,0,1
1998,meninblack,1,2,3
1986,mollyspilgrim,1,0,1
1986,thetriptobountiful,1,1,2
1986,theofficialstory,1,1,2
1986,ran,1,3,4
1986,prizzishonor,1,7,8
1986,mask,1,0,1
1986,kissofthespiderwoman,1,3,4
1986,brokenrainbow,1,0,1
1986,backtothefuture,1,3,4
1986,whitenights,1,1,2
1986,witnesstowardrcharlieclements,1,0,1
1998,visasandvirtue,1,0,1
1998,thelongwayhome,1,0,1
1998,thefullmonty,1,3,4
1993,gregcannommichleburkematthewwmung,1,0,1
1994,belleepoque,1,0,1
1987,thefly,1,0,1
1987,womenforamericafortheworld,1,0,1
1993,indochine,1,1,2
1987,topgun,1,3,4
1994,blackriderschwarzfahrer,1,0,1
1993,educatingpeter,1,0,1
1994,defendingourlives,1,0,1
1993,deathbecomesher,1,0,1
1987,themission,1,6,7
1993,monalisadescendingastaircase,1,0,1
1987,agreektragedy,1,0,1
1993,thecryinggame,1,5,6
1993,mycousinvinny,1,0,1
1993,thelastofthemohicans,1,0,1
1993,thepanamadeception,1,0,1
1993,scentofawoman,1,3,4
1993,omnibus,1,0,1
1987,childrenofalessergod,1,4,5
1987,preciousimages,1,0,1
1987,roundmidnight,1,1,2
1987,theassault,1,0,1
1987,thecolorofmoney,1,3,4
1997,deardiary,1,0,1
1995,bobsbirthday,1,0,1
1995,burntbythesun,1,0,1
1990,deadpoetssociety,1,3,4
1990,commonthreadsstoriesfromthequilt,1,0,1
1990,cinemaparadiso,1,0,1
1995,bulletsoverbroadway,1,6,7
1990,batman,1,0,1
1990,balance,1,0,1
1990,henryv,1,2,3
1990,indianajonesandthelastcrusade,1,2,3
1995,legendsofthefall,1,2,3
1990,workexperience,1,0,1
1990,thejohnstownflood,1,0,1
1990,theabyss,1,3,4
1996,mightyaphrodite,1,1,2
1996,deadmanwalking,1,3,4
1996,leavinglasvegas,1,3,4
1996,liebermaninlove,1,0,1
1996,onesurvivorremembers,1,0,1
1996,babe,1,6,7
1995,atimeforjustice,1,0,1
1996,antoniasline,1,0,1
1996,annefrankremembered,1,0,1
1996,acloseshave,1,0,1
1995,bluesky,1,0,1
1995,themadnessofkinggeorge,1,3,4
1991,journeyofhope,1,0,1
1991,daysofwaiting,1,0,1
1991,cyranodebergerac,1,4,5
1991,creaturecomforts,1,0,1
1991,americandream,1,0,1
1991,misery,1,0,1
1991,reversaloffortune,1,2,3
1991,totalrecall,1,2,3
1991,thehuntforredoctober,1,2,3
1991,thelunchdate,1,0,1
1995,theadventuresofpriscillaqueenofthedesert,1,0,1
1995,mayalinastrongclearvision,1,0,1
1995,pulpfiction,1,6,7
1997,breathinglessonsthelifeandworkofmarkobrien,1,0,1
1991,goodfellas,1,5,6
1992,thelmalouise,1,5,6
1992,deadlydeceptiongeneralelectricnuclearweaponsandourenvironment,1,0,1
1992,cityslickers,1,0,1
1989,youdonthavetodie,1,0,1
1989,workinggirl,1,5,6
1996,senseandsensibility,1,6,7
1996,thepostmanilpostino,1,4,5
1996,toystory,1,3,4
1992,intheshadowofthestars,1,0,1
1989,tintoy,1,0,1
1989,bird,1,0,1
1989,beetlejuice,1,0,1
1989,afishcalledwanda,1,2,3
1992,thefisherking,1,4,5
1989,hotelterminusthelifeandtimesofklausbarbie,1,0,1
1989,mississippiburning,1,6,7
1992,sessionman,1,0,1
1989,pelletheconqueror,1,1,2
1992,mediterraneo,1,0,1
1989,theaccidentaltourist,1,3,4
1992,manipulation,1,0,1
1989,theaccused,1,0,1
1989,theappointmentsofdennisjennings,1,0,1
1989,themilagrobeanfieldwar,1,0,1
2015,americansniper,1,5,6
2015,bighero6,1,0,1
2015,boyhood,1,5,6
2015,citizenfour,1,0,1
2015,crisishotlineveteranspress1,1,0,1
2015,feast,1,0,1
2015,ida,1,1,2
2015,interstellar,1,4,5
2015,selma,1,1,2
2015,stillalice,1,0,1
2015,theimitationgame,1,7,8
2015,thephonecall,1,0,1
2015,thetheoryofeverything,1,4,5
2016,agirlintheriverthepriceofforgiveness,1,0,1
2017,arrival,1,7,8
2017,cityofstars,1,0,1
2017,fantasticbeastsandwheretofindthem,1,1,2
2017,fences,1,3,4
2017,ojmadeinamerica,1,0,1
2017,piper,1,0,1
2017,sing,1,0,1
2017,suicidesquad,1,0,1
2017,thejunglebook,1,0,1
2017,thesalesman,1,0,1
2017,thewhitehelmets,1,0,1
2017,zootopia,1,0,1
2016,amy,1,0,1
2016,stutterer,1,0,1
2016,thehatefuleight,1,2,3
2016,thedanishgirl,1,3,4
2016,thebigshort,1,4,5
2016,spectre,1,0,1
2016,sonofsaul,1,0,1
2016,room,1,3,4
2016,insideout,1,1,2
2016,exmachina,1,1,2
2016,bridgeofspies,1,5,6
2016,bearstory,1,0,1
2012,themuppets,1,0,1
2012,undefeated,1,0,1
2012,theshore,1,0,1
2012,thehelp,1,3,4
2012,thegirlwiththedragontattoo,1,4,5
2012,aseparation,1,1,2
2012,beginners,1,0,1
2012,midnightinparis,1,3,4
2012,rango,1,0,1
2012,savingface,1,0,1
2012,thedescendants,1,4,5
2012,thefantasticflyingbooksofmrmorrislessmore,1,0,1
2014,20feetfromstardom,1,0,1
2014,theladyinnumber6musicsavedmylife,1,0,1
2014,thegreatbeauty,1,0,1
2014,mrhublot,1,0,1
2014,her,1,4,5
2014,helium,1,0,1
2014,bluejasmine,1,2,3
2013,amour,1,4,5
2013,annakarenina,1,3,4
2013,brave,1,0,1
2013,curfew,1,0,1
2013,inocente,1,0,1
2013,paperman,1,0,1
2013,searchingforsugarman,1,0,1
2013,silverliningsplaybook,1,7,8
2013,skyfall,1,3,4
2021,twodistantstrangers,1,0,1
2021,tenet,1,1,2
2021,anotherround,1,1,2
2021,promisingyoungwoman,1,4,5
2021,myoctopusteacher,1,0,1
2021,minari,1,5,6
2021,judasandtheblackmessiah,1,4,5
2021,ifanythinghappensiloveyou,1,0,1
2021,fightforyou,1,0,1
2021,colette,1,0,1
2023,anirishgoodbye,1,0,1
2023,avatarthewayofwater,1,3,4
2023,blackpantherwakandaforever,1,3,4
2023,danielroherodessaraedianebeckermelaniemillerandshaneboris,1,0,1
2023,guillermodeltorospinocchio,1,0,1
2023,kartikigonsalvesandguneetmonga,1,0,1
2023,naatunaatu,1,0,1
2023,theboythemolethefoxandthehorse,1,0,1
2023,topgunmaverick,1,4,5
2022,thepowerofthedog,1,11,12
2022,belfast,1,5,6
2022,cruella,1,1,2
2022,drivemycar,1,3,4
2022,encanto,1,1,2
2022,kingrichard,1,4,5
2022,notimetodie,1,2,3
2022,summerofsoulorwhentherevolutioncouldnotbetelevised,1,0,1
2022,thelonggoodbye,1,0,1
2022,thequeenofbasketball,1,0,1
2022,thewindshieldwiper,1,0,1
2022,westsidestory,1,6,7
2018,thesilentchild,1,0,1
2018,rememberme,1,0,1
2018,callmebyyourname,1,2,3
2018,phantomthread,1,5,6
2018,itonya,1,2,3
2018,icarus,1,0,1
2018,heavenisatrafficjamonthe405,1,0,1
2018,getout,1,3,4
2018,dearbasketball,1,0,1
