id,review
tt0111161,It's the no-bull performances that hold back the flood of banalities. Robbins and Freeman connect with the bruised souls of Andy and Red to create something undeniably powerful and moving.
tt0111161,Gripping...compelling.
tt0111161,"Central to the film's success is a riveting, unfussy performance from Robbins. Freeman has the showier role, allowing him a grace and dignity that come naturally."
tt0111161,"There are times when The Shawshank Redemption comes dangerously close to sounding one of those ""triumph of the spirit"" notes. But most of it is eloquently restrained. [23 Sept 1994, p.C3]"
tt0111161,[Darabont] makes you feel the maddening pace of prison time without letting his picture succumb to it.
tt0111161,"At times poignant, joyful, and terrifying, Shawshank Redemption is an altogether brilliant movie and the debut of an equally brilliant director."
tt0111161,"Whitmore's Brooks is a brilliantly-realized character, and the scenes with him attempting to cope with life outside of Shawshank represents one of the film's most moving -- and effective -- sequences."
tt0111161,"Some of ""The Shawshank Redemption'' comes across as outrageously improbable. Yet the film keeps pulling you back with its sense of striving humanity slowly turning the tables against evil."
tt0111161,"Shouldering a laconic-good-guy, neo- Gary Cooper role, Robbins never quite makes emotional contact with the audience."
tt0111161,"Speaking of jail, ""Shawshank""-the-movie seems to last about half a life sentence. The story, chiefly about the 20-year friendship between Freeman and Robbins, becomes incarcerated in its own labyrinthine sentimentality."
tt0068646,"Just about as great as a movie's ever gonna be... As for the storytellng, The Godfather is an intricately constructed gem that simultaneously kicks ass."
tt0068646,"The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion... It was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual."
tt0068646,The wedding sequence... is a virtuoso stretch of filmmaking: Coppola brings his large cast onstage so artfully that we are drawn at once into the Godfather's world.
tt0068646,"In scene after scene -- the long wedding sequence, John Marley's bloody discovery in his bed, Pacino nervously smoothing down his hair before a restaurant massacre, the godfather's collapse in a garden -- Coppola crafted an enduring, undisputed masterpiece. [21 Mar 1997, Daily Datebook, p.C3]"
tt0068646,One of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment. [16 Mar 1972]
tt0068646,"A great American picture, full of incredible images and lasting moments."
tt0068646,The Godfather traces the arc of this doomed idealism with a beauty that is still fresh.
tt0068646,"Sharp, entertaining, and convincing--discursive, but with a sense of structure and control that Coppola hasn't achieved since."
tt0068646,"Overflowing with life, rich with all the grand emotions and vital juices of existence, up to and including blood. And its deaths, like that of Hotspur in ""Henry IV, Part I,"" continue to shock no matter how often we've watched them coming. [16 Mar 1997, Calendar, p.7]"
tt0068646,"Overlong at about 175 minutes (played without intermission), and occasionally confusing. While never so placid as to be boring, it is never so gripping as be superior screen drama."
tt0468569,"Enthralling...An ambitious, full-bodied crime epic of gratifying scope and moral complexity, this is seriously brainy pop entertainment that satisfies every expectation raised by its hit predecessor and then some."
tt0468569,"Bale again brilliantly personifies all the deep traumas and misgivings of Batman's alter ego, Bruce Wayne. A bit of Hamlet is in this Batman."
tt0468569,"Beyond dark. It's as black -- and teeming and toxic -- as the mind of the Joker. ""Batman Begins,"" the 2005 film that launched Nolan's series, was a mere five-finger exercise. This is the full symphony."
tt0468569,"Christopher Nolan has provided movie-goers with the best superhero movie to-date, outclassing previous titles both mediocre and excellent, and giving this franchise its ""The Empire Strikes Back."""
tt0468569,"At two hours and 32 minutes, this is almost too much movie, but it has a malicious, careening zest all its own. It's a ride for the gut AND the brain."
tt0468569,"No fair giving away the mysteries of The Dark Knight. It's enough to marvel at the way Nolan -- a world-class filmmaker, be it ""Memento,"" ""Insomnia"" or ""The Prestige"" -- brings pop escapism whisper-close to enduring art."
tt0468569,"The Dark Knight is dark, all right: It's a luxurious nightmare disguised in a superhero costume, and it's proof that popcorn entertainments don't have to talk down to their audiences in order to satisfy them. The bar for comic-book film adaptations has been permanently raised."
tt0468569,"You may emerge more exhausted than elated. Nolan wants to prove that a superhero movie needn't be disposable, effects-ridden junk food, and you have to admire his ambition. But this is Batman, not ""Hamlet."" Call me shallow, but I wish it were a little more fun."
tt0468569,"The novelty wears off and the lack of imagination, visual and otherwise, turns into a drag. The Dark Knight is noisy, jumbled, and sadistic."
tt0468569,"The Dark Knight is hardly routine--it has a kicky sadism in scene after scene, which keeps you on edge and sends you out onto the street with post-movie stress disorder."
tt0071562,"And with supporting roles from the likes of Diane Keaton, Robert Duvall and Lee Strasberg, to say nothing of Roger Corman and Harry Dean Stanton in bit parts, this is nothing short of magisterial."
tt0071562,"As the beginning of Part II echoes the opening of ""The Godfather,"" so too does the end. Because of the manner in which circumstances are handled and considering the people involved, the impact here is more forceful. The tragic flaw has accomplished its poisonous, inevitable designs. Coppola punctuates both movies with a gut-twisting exclamation point."
tt0071562,"Cinematographer Willis superbly captures the turn-of-the-century period, applying a seriographic tint to flashback scenes for a softer, richer look than the sharp image of the ongoing contemporary story."
tt0071562,"This is quite simply one of the saddest movies ever made, a tale of loss, grief and absolute loneliness, an unflinching stare into the darkest moral abyss."
