id,mean_sentiment_score,number_of_reviews,sentiment
tt0017136,0.34818,10,pos
tt0019254,0.43576,10,pos
tt0021749,0.67685,10,pos
tt0025316,0.61371,10,pos
tt0027977,0.491425,4,pos
tt0031381,0.5151,10,pos
tt0031679,0.1978888888888889,9,pos
tt0032138,0.6131,10,pos
tt0032551,0.57087,10,pos
tt0032976,0.23973000000000005,10,pos
tt0033467,0.65316,10,pos
tt0034583,0.5869500000000001,10,pos
tt0035446,0.36427,10,pos
tt0036775,0.25859,10,pos
tt0036868,0.6297699999999999,10,pos
tt0038650,0.55559,10,pos
tt0040897,0.33690000000000003,10,pos
tt0041959,0.37762,10,pos
tt0042192,0.35398,10,pos
tt0042876,0.27912,10,pos
tt0043014,0.24733,10,pos
tt0044741,0.41297999999999996,10,pos
tt0045152,0.65966,10,pos
tt0046268,0.20527,10,pos
tt0046438,0.40668999999999994,10,pos
tt0046912,0.35864,10,pos
tt0047296,0.46041,10,pos
tt0047396,0.45008,10,pos
tt0047478,0.558,7,pos
tt0050083,0.09426000000000001,10,pos
tt0050212,0.06514,10,pos
tt0050825,0.46581,10,pos
tt0050976,0.5015,10,pos
tt0050986,0.49721000000000004,10,pos
tt0051201,0.19519,10,pos
tt0052357,0.32206,10,pos
tt0052618,0.6076999999999999,9,pos
tt0053125,0.46936,10,pos
tt0053291,0.83088,10,pos
tt0053604,0.3321,10,pos
tt0054215,-0.09019,10,neg
tt0055031,0.04188571428571426,7,pos
tt0055630,0.20540000000000003,10,pos
tt0056058,0.08823333333333333,9,pos
tt0056172,0.49596250000000003,8,pos
tt0056592,0.11699999999999999,10,pos
tt0057012,0.417,10,pos
tt0057115,0.48753,10,pos
tt0057565,0.13186,10,pos
tt0058946,0.23464000000000002,10,pos
tt0059578,0.2964375,8,pos
tt0059742,0.57975,10,pos
tt0060196,0.0543,7,pos
tt0060827,0.56792,10,pos
tt0061512,0.4612,10,pos
tt0062622,0.39310999999999996,10,pos
tt0064116,0.48816666666666664,9,pos
tt0066921,-0.030200000000000005,10,neg
tt0068646,0.29474,10,pos
tt0070047,-0.05548000000000001,10,neg
tt0070735,0.73794,10,pos
tt0071315,0.14593,10,pos
tt0071562,0.15537,10,pos
tt0071853,0.41738,10,pos
tt0072684,0.4428500000000001,10,pos
tt0073195,0.45395,10,pos
tt0073486,0.45663,10,pos
tt0074958,0.29581,10,pos
tt0075148,0.42786,10,pos
tt0075314,0.18651,10,pos
tt0076759,0.63428,10,pos
tt0077416,0.13582,10,pos
tt0078748,0.1516,10,pos
tt0078788,0.33279000000000003,10,pos
tt0079470,0.33053999999999994,10,pos
tt0080678,0.28361000000000003,10,pos
tt0080684,0.69874,10,pos
tt0081398,-0.38859,10,neg
tt0081505,-0.10323000000000002,10,neg
tt0082096,-0.29407,10,neg
tt0082971,0.54413,10,pos
tt0083658,0.56091,10,pos
tt0084787,0.030279999999999994,10,pos
tt0086190,0.32754,10,pos
tt0086250,0.19335555555555556,9,pos
tt0086879,0.64989,10,pos
tt0087843,0.09557999999999998,10,pos
tt0088247,0.20095999999999997,10,pos
tt0088763,0.6725399999999999,10,pos
tt0089881,0.57555,10,pos
tt0090605,0.15587,10,pos
tt0091763,0.54548,10,pos
tt0092005,0.34623,10,pos
tt0093058,-0.18786,10,neg
tt0095016,-0.032619999999999996,10,neg
tt0095327,0.08707,10,pos
tt0095765,0.5633,10,pos
tt0096283,0.19590000000000002,10,pos
tt0097165,0.31141,10,pos
tt0097576,0.51811,10,pos
tt0099348,0.26606,10,pos
tt0099685,0.0841,10,pos
tt0102926,0.015169999999999984,10,pos
tt0103064,0.59503,10,pos
tt0103639,0.61049,10,pos
tt0105236,0.04628,10,pos
tt0105695,0.40518,10,pos
tt0107048,0.26364,10,pos
tt0107207,0.25409000000000004,10,pos
tt0107290,0.4260400000000001,10,pos
tt0108052,0.26114000000000004,10,pos
tt0109830,0.47494999999999993,10,pos
tt0110357,0.5516099999999999,10,pos
tt0110413,0.0929,10,pos
tt0110912,0.19798,10,pos
tt0111161,0.25078,10,pos
tt0112471,0.66589,10,pos
tt0112573,0.06416999999999999,10,pos
tt0112641,0.22244999999999998,10,pos
tt0113277,0.44559,10,pos
tt0114369,-0.28897,10,neg
tt0114709,0.5748800000000001,10,pos
tt0114814,0.3854,10,pos
tt0116282,0.34772,10,pos
tt0117951,0.17079000000000003,10,pos
tt0118715,0.32219000000000003,10,pos
tt0118799,0.41106999999999994,10,pos
tt0118849,0.63631,10,pos
tt0119217,0.6231,10,pos
tt0119488,0.49634999999999996,10,pos
tt0119698,0.38976,10,pos
tt0120382,0.30809000000000003,10,pos
tt0120586,0.16331,10,pos
tt0120689,0.40515,10,pos
tt0120735,0.53769,10,pos
tt0120737,0.22784,10,pos
tt0120815,0.0002599999999999908,10,pos
tt0129167,0.41101,10,pos
tt0133093,0.15082,10,pos
tt0137523,-0.24647999999999998,10,neg
tt0167260,0.53791,10,pos
tt0167261,0.59518,10,pos
tt0167404,-0.43499,10,neg
tt0169547,0.24756,10,pos
tt0172495,0.55957,10,pos
tt0180093,0.14832,10,pos
tt0198781,0.46791,10,pos
tt0208092,0.26314000000000004,10,pos
tt0209144,0.10660999999999998,10,pos
tt0211915,0.69257,10,pos
tt0245429,0.49991,10,pos
tt0245712,0.23276,10,pos
tt0253474,0.2545,10,pos
tt0264464,0.5063500000000001,10,pos
tt0266543,0.45380000000000004,10,pos
tt0266697,0.22183999999999998,10,pos
tt0268978,0.4455,10,pos
tt0317248,-0.07776,10,neg
tt0317705,0.41977000000000003,10,pos
tt0325980,0.08099,10,pos
tt0338013,0.54794,10,pos
tt0347149,0.40990000000000004,10,pos
